ClientID,Segment,Industry,Country,Financed Amount,CO2 (tons),Energy Consumption (MWh),Water Usage (thousand m3),Water Stress,Flood Risk,Drought Risk,Report_Date
101,Medium Corporate,Transportation and Storage,Lithuania,405639.0,3184.0,4323.0,3691.0,0.76,0.47,0.65,03/2023
102,Small Corporate,Transportation and Storage,Estonia,19642.0,562.0,1922.0,1348.0,0.48,0.66,0.2,03/2023
103,Small Corporate,Manufacturing ,Lithuania,167375.0,987.0,2832.0,6692.0,0.47,0.43,0.67,03/2023
104,Medium Corporate,Construction ,Lithuania,239927.0,1922.0,4177.0,10446.0,0.76,0.45,0.62,03/2023
105,Medium Corporate,"Agriculture, Forestry and Fishing",Latvia,221043.0,998.0,4738.0,13471.0,0.38,0.56,0.59,03/2023
106,Small Corporate,Transportation and Storage,Lithuania,3099.0,944.0,1375.0,979.0,0.79,0.39,0.62,03/2023
107,Small Corporate,Manufacturing ,Estonia,144602.0,893.0,637.0,1046.0,0.35,0.73,0.21,03/2023
108,Large Corporate,Construction ,Estonia,1935663.0,3751.0,18203.0,16187.0,0.56,0.61,0.32,03/2023
109,Medium Corporate,Financial and Insurance Activities,Latvia,460042.0,230.0,1893.0,646.0,0.21,0.69,0.5,03/2023
110,Large Corporate,Transportation and Storage,Estonia,1182541.0,9533.0,27465.0,10957.0,0.38,0.62,0.29,03/2023
111,Medium Corporate,Manufacturing ,Lithuania,220123.0,2061.0,3293.0,29382.0,0.47,0.36,0.43,03/2023
112,Small Corporate,"Agriculture, Forestry and Fishing",Estonia,83583.0,229.0,1446.0,2490.0,0.4,0.71,0.24,03/2023
113,Small Corporate,Construction ,Estonia,164528.0,272.0,1314.0,3270.0,0.44,0.63,0.23,03/2023
114,Large Corporate,Manufacturing ,Latvia,1341495.0,18359.0,31677.0,32281.0,0.44,0.5,0.5,03/2023
115,Medium Corporate,Financial and Insurance Activities,Latvia,376961.0,269.0,882.0,603.0,0.34,0.68,0.38,03/2023
116,Large Corporate,Manufacturing ,Latvia,549039.0,8538.0,36649.0,75125.0,0.27,0.41,0.55,03/2023
117,Large Corporate,Financial and Insurance Activities,Estonia,922225.0,323.0,2575.0,1785.0,0.55,0.68,0.49,03/2023
118,Small Corporate,Transportation and Storage,Estonia,30334.0,869.0,2363.0,1398.0,0.37,0.75,0.38,03/2023
119,Large Corporate,"Agriculture, Forestry and Fishing",Latvia,1897298.0,5087.0,7841.0,27766.0,0.44,0.46,0.32,03/2023
120,Large Corporate,"Agriculture, Forestry and Fishing",Lithuania,1794351.0,3204.0,12814.0,28335.0,0.45,0.46,0.48,03/2023
121,Small Corporate,Construction ,Estonia,132359.0,296.0,2150.0,3576.0,0.52,0.71,0.33,03/2023
122,Large Corporate,Financial and Insurance Activities,Latvia,1640612.0,693.0,5172.0,1991.0,0.49,0.62,0.41,03/2023
123,Large Corporate,Financial and Insurance Activities,Latvia,752093.0,700.0,3380.0,1450.0,0.46,0.56,0.44,03/2023
124,Small Corporate,"Agriculture, Forestry and Fishing",Latvia,119567.0,303.0,613.0,1523.0,0.43,0.54,0.31,03/2023
125,Small Corporate,Manufacturing ,Estonia,12171.0,133.0,2033.0,3774.0,0.44,0.57,0.36,03/2023
126,Small Corporate,Manufacturing ,Latvia,167158.0,758.0,2867.0,4336.0,0.27,0.41,0.37,03/2023
127,Large Corporate,Transportation and Storage,Latvia,1553826.0,10086.0,18437.0,9277.0,0.28,0.42,0.57,03/2023
128,Large Corporate,Manufacturing ,Latvia,733619.0,12769.0,28503.0,63756.0,0.32,0.52,0.39,03/2023
129,Medium Corporate,Transportation and Storage,Latvia,456385.0,3536.0,4895.0,3705.0,0.35,0.41,0.32,03/2023
130,Large Corporate,Construction ,Estonia,1438340.0,4688.0,10569.0,14562.0,0.53,0.77,0.38,03/2023
131,Large Corporate,Construction ,Lithuania,1329658.0,6895.0,14204.0,24077.0,0.45,0.34,0.54,03/2023
132,Large Corporate,Construction ,Estonia,780361.0,8079.0,9980.0,29361.0,0.54,0.61,0.44,03/2023
133,Medium Corporate,Manufacturing ,Lithuania,484690.0,4677.0,4880.0,19924.0,0.69,0.38,0.73,03/2023
